temperature_K,fov_case,axis,index,power_W
340,narrow,column,32,3.7135552620312745e-09
340,narrow,column,33,3.7154204244589955e-09
340,narrow,column,34,3.7172178352004677e-09
340,narrow,column,35,3.7189473450598634e-09
340,narrow,column,36,3.7206088103521576e-09
340,narrow,column,37,3.7222020929295505e-09
340,narrow,column,38,3.723727060206899e-09
340,narrow,column,39,3.725183585186167e-09
340,narrow,column,40,3.726571546479832e-09
340,narrow,column,41,3.7278908283333285e-09
340,narrow,column,42,3.72914132064643e-09
340,narrow,column,43,3.730322918993631e-09
340,narrow,column,44,3.7314355246434636e-09
340,narrow,column,45,3.732479044576844e-09
340,narrow,column,46,3.7334533915042695e-09
340,narrow,column,47,3.7343584838820605e-09
340,narrow,column,48,3.7351942459274945e-09
340,narrow,column,49,3.7359606076328846e-09
340,narrow,column,50,3.736657504778612e-09
340,narrow,column,51,3.737284878945073e-09
340,narrow,column,52,3.7378426775235444e-09
340,narrow,column,53,3.738330853725984e-09
340,narrow,column,54,3.738749366593766e-09
340,narrow,column,55,3.739098181005292e-09
340,narrow,column,56,3.7393772676825505e-09
340,narrow,column,57,3.73958660319658e-09
340,narrow,column,58,3.739726169971827e-09
340,narrow,column,59,3.739795956289437e-09
340,narrow,column,60,3.739795956289437e-09
340,narrow,column,61,3.739726169971827e-09
340,narrow,column,62,3.73958660319658e-09
340,narrow,column,63,3.7393772676825505e-09
340,narrow,column,64,3.739098181005292e-09
340,narrow,column,65,3.738749366593766e-09
340,narrow,column,66,3.738330853725984e-09
340,narrow,column,67,3.7378426775235444e-09
340,narrow,column,68,3.737284878945073e-09
340,narrow,column,69,3.736657504778612e-09
340,narrow,column,70,3.7359606076328846e-09
340,narrow,column,71,3.7351942459274945e-09
340,narrow,column,72,3.7343584838820605e-09
340,narrow,column,73,3.7334533915042695e-09
340,narrow,column,74,3.732479044576844e-09
340,narrow,column,75,3.7314355246434636e-09
340,narrow,column,76,3.730322918993631e-09
340,narrow,column,77,3.72914132064643e-09
340,narrow,column,78,3.7278908283333285e-09
340,narrow,column,79,3.726571546479832e-09
340,narrow,column,80,3.725183585186167e-09
340,narrow,column,81,3.723727060206899e-09
340,narrow,column,82,3.7222020929295505e-09
340,narrow,column,83,3.7206088103521576e-09
340,narrow,column,84,3.7189473450598634e-09
340,narrow,column,85,3.7172178352004677e-09
340,narrow,column,86,3.7154204244589955e-09
340,narrow,column,87,3.7135552620312745e-09
340,narrow,column,88,3.7116225025965423e-09
340,narrow,column,89,3.7096223062890622e-09
340,narrow,column,90,3.707554838668785e-09
340,narrow,column,91,3.7054202706910622e-09
340,narrow,column,92,3.7032187786754157e-09
340,narrow,column,93,3.7009505442733694e-09
340,narrow,column,94,3.6986157544353405e-09
340,narrow,column,95,3.6962146013766695e-09
340,narrow,column,96,3.6937472825426836e-09
340,narrow,column,97,3.6912140005729026e-09
340,narrow,column,98,3.6886149632643797e-09
340,narrow,column,99,3.685950383534131e-09
340,narrow,column,100,3.6832204793807537e-09
340,narrow,column,101,3.68042547384516e-09
340,narrow,column,102,3.6775655949705094e-09
340,narrow,column,103,3.6746410757613e-09
340,narrow,column,104,3.6716521541416703e-09
340,narrow,column,105,3.6685990729128827e-09
340,narrow,column,106,3.6654820797100494e-09
340,narrow,column,107,3.6623014269580867e-09
340,narrow,column,108,3.6590573718268938e-09
340,narrow,column,109,3.6557501761858085e-09
340,narrow,column,110,3.652380106557351e-09
340,narrow,column,111,3.6489474340702194e-09
340,narrow,column,112,3.6454524344116097e-09
340,narrow,column,113,3.6418953877788484e-09
340,narrow,column,114,3.6382765788303584e-09
340,narrow,column,115,3.6345962966359444e-09
340,narrow,column,116,3.6308548346264964e-09
340,narrow,column,117,3.627052490543004e-09
