scenario,alpha,window,snr_like,tpr,fpr,precision,f1,iou,detection_delay_frames,peak_amplitude_ratio,detection_probability,mean_center_error_px
moving_with_noise_burst,0.3,5,11.18112549309098,0.9320796460176991,0.005576749180513168,0.6839292256666537,0.7875242293364443,0.6510053519309313,0.0,0.9551620504336655,1.0,2.2584121694502803
moving_with_noise_burst,0.3,10,7.299675557188552,0.882853982300885,0.01097547191138239,0.514744999307214,0.6472450080525374,0.48312053402278743,0.0,0.9551620504336655,1.0,4.621896081848087
moving_with_noise_burst,0.6,1,13.180739601677118,0.9924778761061948,0.003790833050751667,0.7738284233604696,0.8681346500305613,0.7680429626409452,0.0,0.9551620504336655,1.0,1.4476435656471114
moving_with_noise_burst,0.6,3,11.356695585072398,0.9271017699115044,0.005846614671640104,0.674422416883875,0.7787027151131932,0.6389069850288099,0.0,0.9551620504336655,1.0,2.428428518079033
moving_with_noise_burst,0.6,5,9.402341398035665,0.8842920353982301,0.007875551034248899,0.5955494736637401,0.7091210627048511,0.5516375777797138,0.0,0.9551620504336655,1.0,3.3710014916542113
moving_with_noise_burst,0.6,10,5.886115191239045,0.8261061946902654,0.012459025658415283,0.4693758276508257,0.594291410253103,0.4280536328869367,0.0,0.9551620504336655,1.0,5.523358612850562
moving_with_noise_burst,0.9,1,7.072119425323867,0.9326327433628319,0.020070362834859277,0.40002212241541424,0.5471725987312153,0.3837019263203855,0.0,0.9551620504336655,0.95,8.224979267258584
moving_with_noise_burst,0.9,3,5.675096535306417,0.8297566371681416,0.021433819373799026,0.36038501956138685,0.4891719829680376,0.33133049299317757,16.0,0.9551620504336655,0.45,9.233239902667961
moving_with_noise_burst,0.9,5,4.6105271248804796,0.7586283185840708,0.022599468746467725,0.3305322510659228,0.44640963643708814,0.29523766847677513,,0.9551620504336655,0.2125,10.085620684403239
moving_with_noise_burst,0.9,10,2.910660031081046,0.6248893805309734,0.025419633774160733,0.27063561713561135,0.3624909028358951,0.2309987902570083,,0.9551620504336655,0.0875,11.955366988552493
small_moving_target,0.0,1,9.709300236777732,1.0,1.259657373194491e-05,0.9962500000000001,0.9980932203389831,0.9962500000000001,0.0,1.0,1.0,0.014842677994468211
small_moving_target,0.0,3,12.455568893689431,0.9982758620689655,0.0015353823759937297,0.6802379155924404,0.8085622432640569,0.6794946331020676,0.0,0.9602010051216727,1.0,0.9862315064695804
small_moving_target,0.0,5,11.249894372081512,0.9732758620689657,0.0028370283282947045,0.5317146523000034,0.6858852440882839,0.5244823622578705,0.0,0.9602010051216727,1.0,1.9288054578000093
small_moving_target,0.0,10,7.195921036954408,0.8758620689655172,0.005272365916470722,0.3621618703107463,0.5077982356889299,0.3468946829688127,0.0,0.9602010051216727,0.85,4.2112135298052085
small_moving_target,0.3,1,11.877082265365852,1.0,0.0005612473407233232,0.853989131585787,0.9208757409224285,0.853989131585787,0.0,0.9602010051216727,1.0,0.43246453304068366
small_moving_target,0.3,3,12.146086649706808,0.984051724137931,0.001727130220580002,0.6515049747850027,0.7831378770291169,0.6448865706984018,0.0,0.9602010051216727,1.0,1.152960532574851
small_moving_target,0.3,5,10.107007608851802,0.8995689655172413,0.003052569701041317,0.49390401779582227,0.6359068959758145,0.46951999223370483,0.0,0.9602010051216727,1.0,2.1920911245694397
