tp,fp,tn,fn,tpr,recall,fpr,precision,f1,iou,size_px,fill_factor,frame_idx,snr_like,anomaly_area_px
4,0,12284,0,1.0,1.0,0.0,1.0,1.0,1.0,2,0.75,8,12.486790949683733,4
4,0,12284,0,1.0,1.0,0.0,1.0,1.0,1.0,2,0.75,9,12.15936391180912,4
16,1,12271,0,1.0,1.0,8.148631029986962e-05,0.9411764705882353,0.9696969696969697,0.9411764705882353,4,0.75,0,11.247766490033806,16
16,0,12272,0,1.0,1.0,0.0,1.0,1.0,1.0,4,0.75,1,11.320194499078868,16
16,0,12272,0,1.0,1.0,0.0,1.0,1.0,1.0,4,0.75,2,11.607973466750234,16
16,0,12272,0,1.0,1.0,0.0,1.0,1.0,1.0,4,0.75,3,10.880786005005216,16
16,0,12272,0,1.0,1.0,0.0,1.0,1.0,1.0,4,0.75,4,11.400803081217488,16
16,0,12272,0,1.0,1.0,0.0,1.0,1.0,1.0,4,0.75,5,11.489113447781108,16
16,0,12272,0,1.0,1.0,0.0,1.0,1.0,1.0,4,0.75,6,11.281901055003395,16
16,0,12272,0,1.0,1.0,0.0,1.0,1.0,1.0,4,0.75,7,11.49640310720073,16
16,0,12272,0,1.0,1.0,0.0,1.0,1.0,1.0,4,0.75,8,11.24368450010193,16
16,0,12272,0,1.0,1.0,0.0,1.0,1.0,1.0,4,0.75,9,11.958596022776574,16
64,0,12224,0,1.0,1.0,0.0,1.0,1.0,1.0,8,0.75,0,11.401992821187823,64
64,0,12224,0,1.0,1.0,0.0,1.0,1.0,1.0,8,0.75,1,11.286630821697667,64
64,0,12224,0,1.0,1.0,0.0,1.0,1.0,1.0,8,0.75,2,11.765540658881775,64
64,0,12224,0,1.0,1.0,0.0,1.0,1.0,1.0,8,0.75,3,11.677222010716687,64
64,0,12224,0,1.0,1.0,0.0,1.0,1.0,1.0,8,0.75,4,11.69971095735011,64
64,0,12224,0,1.0,1.0,0.0,1.0,1.0,1.0,8,0.75,5,11.439765625425022,64
64,0,12224,0,1.0,1.0,0.0,1.0,1.0,1.0,8,0.75,6,11.575352476419958,64
64,0,12224,0,1.0,1.0,0.0,1.0,1.0,1.0,8,0.75,7,11.705087487580036,64
64,0,12224,0,1.0,1.0,0.0,1.0,1.0,1.0,8,0.75,8,11.528381943889293,64
64,0,12224,0,1.0,1.0,0.0,1.0,1.0,1.0,8,0.75,9,11.866856112704768,64
256,0,12032,0,1.0,1.0,0.0,1.0,1.0,1.0,16,0.75,0,11.547902061808381,256
256,0,12032,0,1.0,1.0,0.0,1.0,1.0,1.0,16,0.75,1,11.561532763839903,256
256,0,12032,0,1.0,1.0,0.0,1.0,1.0,1.0,16,0.75,2,11.837874669690082,256
256,0,12032,0,1.0,1.0,0.0,1.0,1.0,1.0,16,0.75,3,11.482894472687347,256
256,0,12032,0,1.0,1.0,0.0,1.0,1.0,1.0,16,0.75,4,11.532297938837557,256
256,0,12032,0,1.0,1.0,0.0,1.0,1.0,1.0,16,0.75,5,11.722715334317114,256
256,0,12032,0,1.0,1.0,0.0,1.0,1.0,1.0,16,0.75,6,11.51412148954455,256
256,0,12032,0,1.0,1.0,0.0,1.0,1.0,1.0,16,0.75,7,11.555906089561987,256
256,0,12032,0,1.0,1.0,0.0,1.0,1.0,1.0,16,0.75,8,11.512319962912494,256
256,0,12032,0,1.0,1.0,0.0,1.0,1.0,1.0,16,0.75,9,11.60773632927809,256
